sensitive_energy,background_energy,total_energy,sensitive_pixels,background_pixels,sensitive_density,background_density,dilution_ratio,waste_percentage,image_id
179.2849578857422,1518.697998046875,1697.98291015625,11289.0,101607.0,0.015881385232136006,0.014946785143215778,8.470861224900018,89.44130055456088,01-Illegal_Activitiy/0
180.82351684570312,1665.2952880859375,1846.118896484375,11289.0,101607.0,0.016017673562365393,0.016389572451561148,9.209506136388445,90.2052024519219,01-Illegal_Activitiy/1
182.9620819091797,1641.053466796875,1824.015625,11289.0,101607.0,0.016207111516433483,0.016150988286207778,8.969363758780258,89.96926584923735,01-Illegal_Activitiy/11
187.77255249023438,1659.560791015625,1847.333251953125,11289.0,101607.0,0.016633231684831964,0.0163331344397085,8.838143641965742,89.83548524620785,01-Illegal_Activitiy/12
185.87973022460938,1687.686279296875,1873.56591796875,11289.0,101607.0,0.01646556207143633,0.016609941040447104,9.07945302678646,90.07883112634721,01-Illegal_Activitiy/2
202.69149780273438,1716.001220703125,1918.6927490234375,11289.0,101607.0,0.017954778793742122,0.016888612208833604,8.466074005178696,89.4359569330514,01-Illegal_Activitiy/20
201.3699188232422,1627.779052734375,1829.14892578125,11289.0,101607.0,0.017837710941895988,0.016020343605600153,8.083526388478937,88.99106189673613,01-Illegal_Activitiy/21
183.44573974609375,1641.5684814453125,1825.0142822265625,11289.0,101607.0,0.016249954800773427,0.01615605697880216,8.948523326995291,89.9482539628985,01-Illegal_Activitiy/22
182.5006561279297,1638.1947021484375,1820.6953125,11289.0,101607.0,0.016166237587719727,0.016122852777350736,8.976377054284827,89.97632337999661,01-Illegal_Activitiy/23
185.07058715820312,1654.333251953125,1839.40380859375,11289.0,101607.0,0.01639388671787042,0.016281685828269336,8.938931233030393,89.93855749428356,01-Illegal_Activitiy/24
185.10064697265625,1643.23779296875,1828.33837890625,11289.0,101607.0,0.016396549470501575,0.0161724860784059,8.877536733422222,89.87602141474389,01-Illegal_Activitiy/26
155.8875732421875,1555.39990234375,1711.2874755859375,11289.0,101607.0,0.013808802661178971,0.01530799947192218,9.977702968199383,90.890626182027,01-Illegal_Activitiy/27
156.42091369628906,1539.0443115234375,1695.46533203125,11289.0,101607.0,0.013856046921441269,0.015147030337705926,9.839121093572532,90.77415399998242,01-Illegal_Activitiy/29
187.01437377929688,1693.815673828125,1880.8299560546875,11289.0,101607.0,0.016566070845879282,0.01667026557056067,9.057141649103897,90.05682137114312,01-Illegal_Activitiy/3
180.54901123046875,1619.742431640625,1800.2913818359375,11289.0,101607.0,0.01599335735940374,0.01594124845375285,8.971206325153064,89.9711262284561,01-Illegal_Activitiy/34
