image_id,threshold_pct,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14,triple_iou
01-Illegal_Activitiy/0,5.0,0.0,0.04838859662413597,0.1028822660446167,0.0
01-Illegal_Activitiy/0,10.0,0.054652467370033264,0.09831201285123825,0.12681539356708527,0.0042470358312129974
01-Illegal_Activitiy/0,15.0,0.08767422288656235,0.13047832250595093,0.13731153309345245,0.010151907801628113
01-Illegal_Activitiy/0,20.0,0.11067932844161987,0.15956245362758636,0.1633562594652176,0.02579578571021557
01-Illegal_Activitiy/0,30.0,0.18239739537239075,0.22415195405483246,0.22410771250724792,0.06624165922403336
01-Illegal_Activitiy/1,5.0,0.034836817532777786,0.003021148033440113,0.0,0.0
01-Illegal_Activitiy/1,10.0,0.07550135999917984,0.04581036791205406,0.0,0.0
01-Illegal_Activitiy/1,15.0,0.08683653175830841,0.08495642989873886,0.006927307695150375,0.0001548056025058031
01-Illegal_Activitiy/1,20.0,0.10670522600412369,0.12459220737218857,0.019966572523117065,0.0018228850094601512
01-Illegal_Activitiy/1,30.0,0.1802547425031662,0.21167021989822388,0.048431284725666046,0.013906659558415413
01-Illegal_Activitiy/11,5.0,0.03180987387895584,0.01693693734705448,0.0,0.0
01-Illegal_Activitiy/11,10.0,0.03625849261879921,0.1134234145283699,0.0,0.0
01-Illegal_Activitiy/11,15.0,0.05307670682668686,0.15574665367603302,0.015562685206532478,0.00434349849820137
01-Illegal_Activitiy/11,20.0,0.08256220817565918,0.18341675400733948,0.04602626711130142,0.014767707325518131
01-Illegal_Activitiy/11,30.0,0.1436096578836441,0.2523989975452423,0.09095008671283722,0.03869950771331787
01-Illegal_Activitiy/12,5.0,0.048096563667058945,0.020430302247405052,0.0,0.0
01-Illegal_Activitiy/12,10.0,0.06434733420610428,0.06565346568822861,0.024317212402820587,0.0
01-Illegal_Activitiy/12,15.0,0.12004762142896652,0.08551281690597534,0.044212862849235535,0.00023212627274915576
01-Illegal_Activitiy/12,20.0,0.16938136518001556,0.10144149512052536,0.07706250995397568,0.0033526590559631586
01-Illegal_Activitiy/12,30.0,0.24398082494735718,0.15865278244018555,0.137502521276474,0.03057832084596157
01-Illegal_Activitiy/2,5.0,0.042675040662288666,0.03322654590010643,0.031998537480831146,0.0
01-Illegal_Activitiy/2,10.0,0.09083003550767899,0.09363041818141937,0.06204431131482124,0.009206261485815048
01-Illegal_Activitiy/2,15.0,0.12160550802946091,0.13842016458511353,0.0833253338932991,0.020460110157728195
01-Illegal_Activitiy/2,20.0,0.13445208966732025,0.1824561357498169,0.10540487617254257,0.029580967500805855
01-Illegal_Activitiy/2,30.0,0.19119302928447723,0.24503262341022491,0.14293427765369415,0.04968704283237457
01-Illegal_Activitiy/20,5.0,0.08060501515865326,0.05357476323843002,0.006868254393339157,0.0
01-Illegal_Activitiy/20,10.0,0.15146878361701965,0.11601008474826813,0.03180696442723274,0.015759717673063278
01-Illegal_Activitiy/20,15.0,0.17728030681610107,0.16903109848499298,0.060230404138565063,0.02843649312853813
