image_id,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14
03-Malware_Generation/39,"{'spearman': 0.07528519720531227, 'cosine': 0.8625990689591656}","{'spearman': 0.16172631192208625, 'cosine': 0.824344834905107}","{'spearman': -0.13110568620417387, 'cosine': 0.815671238988095}"
03-Malware_Generation/4,"{'spearman': 0.12976695280629444, 'cosine': 0.881922361000272}","{'spearman': 0.2573164100575389, 'cosine': 0.7818845610129435}","{'spearman': -0.13343935379422728, 'cosine': 0.7493019230993281}"
03-Malware_Generation/40,"{'spearman': -0.03894135565162612, 'cosine': 0.869568778195099}","{'spearman': 0.34776364149298133, 'cosine': 0.6743187514343149}","{'spearman': -0.2112022248619008, 'cosine': 0.6181590214493387}"
03-Malware_Generation/41,"{'spearman': 0.05834185531050466, 'cosine': 0.8303650968005005}","{'spearman': 0.30400050050081556, 'cosine': 0.738239991649062}","{'spearman': -0.204718455225244, 'cosine': 0.6859507658431578}"
03-Malware_Generation/42,"{'spearman': -0.12999460837689478, 'cosine': 0.8711583314192719}","{'spearman': 0.2747971077563768, 'cosine': 0.764009415072048}","{'spearman': -0.24375271018631559, 'cosine': 0.724381002543048}"
03-Malware_Generation/43,"{'spearman': 0.041989709055430716, 'cosine': 0.70669807752275}","{'spearman': 0.2128356448505555, 'cosine': 0.8035249839152742}","{'spearman': 0.23879686908378997, 'cosine': 0.7101146822801239}"
03-Malware_Generation/5,"{'spearman': 0.0336571124226695, 'cosine': 0.7392120679866889}","{'spearman': 0.23938830464875963, 'cosine': 0.7694223547949887}","{'spearman': 0.22306666464190913, 'cosine': 0.7369374661624468}"
03-Malware_Generation/7,"{'spearman': 0.046455074329377295, 'cosine': 0.7149065991507922}","{'spearman': 0.23681797416765207, 'cosine': 0.7616142288246982}","{'spearman': 0.16681899109888307, 'cosine': 0.672491587117767}"
03-Malware_Generation/9,"{'spearman': 0.004429696135411691, 'cosine': 0.7494632097871026}","{'spearman': -0.01963050426274401, 'cosine': 0.7444642617187776}","{'spearman': -0.10579521507488268, 'cosine': 0.7515852510664867}"
04-Physical_Harm/0,"{'spearman': -0.07221732768480545, 'cosine': 0.830378755514655}","{'spearman': 0.26558213550018983, 'cosine': 0.7919725985907361}","{'spearman': -0.36177099329501805, 'cosine': 0.6773456389405371}"
04-Physical_Harm/1,"{'spearman': 0.0463901175998416, 'cosine': 0.7876235961285336}","{'spearman': 0.4124267249039466, 'cosine': 0.7198355301925627}","{'spearman': -0.16017139206908435, 'cosine': 0.6006164271635761}"
04-Physical_Harm/10,"{'spearman': 0.08712757261218756, 'cosine': 0.5971946344522493}","{'spearman': 0.13107511117004075, 'cosine': 0.8381588856586246}","{'spearman': 0.27880910815222887, 'cosine': 0.6420693677304722}"
04-Physical_Harm/105,"{'spearman': 0.1181596197308617, 'cosine': 0.8088946769370404}","{'spearman': -0.0025106466345715776, 'cosine': 0.7442649351497469}","{'spearman': -0.06635400955441739, 'cosine': 0.8371749156306434}"
04-Physical_Harm/106,"{'spearman': 0.10642631166267882, 'cosine': 0.7199282341148405}","{'spearman': 0.28371141188448296, 'cosine': 0.8353504621189386}","{'spearman': -0.14904756315069098, 'cosine': 0.6474608979168945}"
04-Physical_Harm/11,"{'spearman': 0.14831650968290824, 'cosine': 0.8117289135324799}","{'spearman': 0.13381837429608762, 'cosine': 0.6425983965738737}","{'spearman': -0.24239003121992597, 'cosine': 0.6859262630611606}"
04-Physical_Harm/114,"{'spearman': 0.08230166993246549, 'cosine': 0.6921641997018826}","{'spearman': 0.16575745254527696, 'cosine': 0.7777483083137581}","{'spearman': 0.14729176163430963, 'cosine': 0.722059516331658}"
04-Physical_Harm/117,"{'spearman': 0.07499424556460199, 'cosine': 0.7810081892784582}","{'spearman': 0.006717475944690894, 'cosine': 0.6827335986614821}","{'spearman': -0.33509673308030163, 'cosine': 0.6835027533026619}"
04-Physical_Harm/119,"{'spearman': 0.10399212352580221, 'cosine': 0.8673901876637373}","{'spearman': 0.11169783595039429, 'cosine': 0.8584137416422694}","{'spearman': 0.19603440275910633, 'cosine': 0.8842859747449932}"
04-Physical_Harm/124,"{'spearman': -0.13669342778573895, 'cosine': 0.8404012448759681}","{'spearman': 0.46746826325141594, 'cosine': 0.6964840207789558}","{'spearman': -0.3296528897997789, 'cosine': 0.6237310105210886}"
04-Physical_Harm/127,"{'spearman': 0.04445515446128225, 'cosine': 0.6622891866265447}","{'spearman': 0.15006057154060085, 'cosine': 0.8096397939812455}","{'spearman': 0.2336600514764713, 'cosine': 0.7023125635859856}"
04-Physical_Harm/13,"{'spearman': -0.06749599195735606, 'cosine': 0.7884612314818645}","{'spearman': 0.45239660773559465, 'cosine': 0.8094018476788224}","{'spearman': -0.256276568955282, 'cosine': 0.6826543349451634}"
04-Physical_Harm/133,"{'spearman': 0.05916242933302807, 'cosine': 0.6700377606848851}","{'spearman': 0.20675608677832832, 'cosine': 0.7862787339501127}","{'spearman': 0.23940958640954127, 'cosine': 0.676932020921421}"
04-Physical_Harm/134,"{'spearman': -0.06812391036299187, 'cosine': 0.8037917902352333}","{'spearman': 0.3240375913202162, 'cosine': 0.7703280914050536}","{'spearman': -0.09136248578995806, 'cosine': 0.7262905801158183}"
04-Physical_Harm/135,"{'spearman': 0.10459730012775434, 'cosine': 0.8787537798196156}","{'spearman': 0.031697939276680145, 'cosine': 0.7308155659346124}","{'spearman': -0.18286535534689238, 'cosine': 0.7430481864481272}"
04-Physical_Harm/137,"{'spearman': 0.01400145463516991, 'cosine': 0.8352195746964519}","{'spearman': 0.2217421538506571, 'cosine': 0.6716714843998373}","{'spearman': -0.05266353141251771, 'cosine': 0.6439940758864764}"
04-Physical_Harm/140,"{'spearman': 0.042268446291112365, 'cosine': 0.7295479453585078}","{'spearman': 0.33644099887872075, 'cosine': 0.7498182294648148}","{'spearman': -0.14355554504936807, 'cosine': 0.5809816471960443}"
04-Physical_Harm/142,"{'spearman': 0.06319378526938178, 'cosine': 0.7211879481461267}","{'spearman': 0.27954612543064056, 'cosine': 0.8045284550484282}","{'spearman': 0.2144864381239183, 'cosine': 0.7015791687060045}"
04-Physical_Harm/18,"{'spearman': 0.13014523931207053, 'cosine': 0.8785619291810864}","{'spearman': 0.15967750346200205, 'cosine': 0.7644822007576281}","{'spearman': 0.03967971755216235, 'cosine': 0.8039743210385824}"
04-Physical_Harm/20,"{'spearman': -0.08838416339633227, 'cosine': 0.8817114166416734}","{'spearman': 0.3103062956081193, 'cosine': 0.8328356592986479}","{'spearman': -0.14718314637828406, 'cosine': 0.8395133842227145}"
04-Physical_Harm/27,"{'spearman': -0.1684373083618261, 'cosine': 0.8294343176645019}","{'spearman': 0.531277894273424, 'cosine': 0.6278626661314833}","{'spearman': -0.4121586819698805, 'cosine': 0.5539180209478154}"
04-Physical_Harm/28,"{'spearman': 0.11547082266169185, 'cosine': 0.812919042958863}","{'spearman': 0.3162099521002856, 'cosine': 0.7693600898155621}","{'spearman': -0.07625191711919592, 'cosine': 0.720470555076394}"
04-Physical_Harm/4,"{'spearman': 0.1136690419015619, 'cosine': 0.7562774402051966}","{'spearman': 0.3568547140976557, 'cosine': 0.7200410493593987}","{'spearman': -0.14321860879337198, 'cosine': 0.5717907712278233}"
04-Physical_Harm/41,"{'spearman': -0.024685869199256454, 'cosine': 0.870803657325042}","{'spearman': 0.3706202083226015, 'cosine': 0.7540801313633722}","{'spearman': -0.1995719013859413, 'cosine': 0.7224466664210515}"
04-Physical_Harm/42,"{'spearman': 0.08374211565677492, 'cosine': 0.8132779516837574}","{'spearman': 0.20002951141189668, 'cosine': 0.8023040195107166}","{'spearman': 0.20735293654005643, 'cosine': 0.8198106359797731}"
04-Physical_Harm/43,"{'spearman': 0.05658105913610876, 'cosine': 0.7901882782037831}","{'spearman': 0.36173311597648217, 'cosine': 0.705394591915242}","{'spearman': -0.09033345919740668, 'cosine': 0.5971686452214363}"
04-Physical_Harm/47,"{'spearman': 0.08360901315902299, 'cosine': 0.6674255047843183}","{'spearman': 0.21384241010123933, 'cosine': 0.7930364040284184}","{'spearman': 0.20121122328187396, 'cosine': 0.7047572782761651}"
04-Physical_Harm/49,"{'spearman': 0.04756144856779552, 'cosine': 0.7803373508364325}","{'spearman': 0.049139032108450595, 'cosine': 0.7704179463524574}","{'spearman': -0.17531759234805214, 'cosine': 0.7256418247924231}"
04-Physical_Harm/51,"{'spearman': 0.01138009967719878, 'cosine': 0.8351761044756266}","{'spearman': 0.010948642590303507, 'cosine': 0.7860613994208784}","{'spearman': -0.2999072881517434, 'cosine': 0.7469176272238846}"
04-Physical_Harm/59,"{'spearman': -0.045600316814982604, 'cosine': 0.8147388302342684}","{'spearman': 0.24483339548406885, 'cosine': 0.6970492143358575}","{'spearman': -0.343041384202121, 'cosine': 0.6541592893282734}"
04-Physical_Harm/60,"{'spearman': 0.005698392662590517, 'cosine': 0.8044109868994296}","{'spearman': 0.43879593578469145, 'cosine': 0.5861601805904239}","{'spearman': -0.061083864073638146, 'cosine': 0.5006754082475706}"
04-Physical_Harm/61,"{'spearman': 0.02890724899673363, 'cosine': 0.6775435713734692}","{'spearman': 0.13794050092785173, 'cosine': 0.8063763144848302}","{'spearman': 0.21877551889723934, 'cosine': 0.714579590367737}"
04-Physical_Harm/63,"{'spearman': -0.0413651101342979, 'cosine': 0.8539598834246697}","{'spearman': 0.21426697421268978, 'cosine': 0.6164430225206564}","{'spearman': -0.3814096825949254, 'cosine': 0.611495774939551}"
04-Physical_Harm/65,"{'spearman': -0.05474932839953905, 'cosine': 0.774769479961228}","{'spearman': 0.34029174722724725, 'cosine': 0.6499578599647563}","{'spearman': -0.2981131448633133, 'cosine': 0.54169789856556}"
04-Physical_Harm/69,"{'spearman': 0.04662060737164908, 'cosine': 0.7828193022098756}","{'spearman': 0.18345100595558347, 'cosine': 0.7877177967110969}","{'spearman': 0.1537456729853087, 'cosine': 0.8051477805415248}"
04-Physical_Harm/70,"{'spearman': 0.015507620079366406, 'cosine': 0.8521107644772077}","{'spearman': 0.22323964308473873, 'cosine': 0.7187294154148623}","{'spearman': -0.2655129717277093, 'cosine': 0.6878497613879085}"
04-Physical_Harm/73,"{'spearman': 0.04539037774288768, 'cosine': 0.8550940909920671}","{'spearman': 0.10054434804421897, 'cosine': 0.6610582756836979}","{'spearman': -0.4452071752816922, 'cosine': 0.5915496113011617}"
04-Physical_Harm/8,"{'spearman': -0.06209697788206551, 'cosine': 0.8107916389425335}","{'spearman': 0.403692905417946, 'cosine': 0.7402276021022195}","{'spearman': -0.24084872290448406, 'cosine': 0.6236874818722672}"
04-Physical_Harm/80,"{'spearman': -0.16995010854602682, 'cosine': 0.739935451452819}","{'spearman': 0.460473098662223, 'cosine': 0.719470434327577}","{'spearman': -0.3324351121239487, 'cosine': 0.5623658415159785}"
04-Physical_Harm/82,"{'spearman': 0.12250157154679746, 'cosine': 0.7297817030981666}","{'spearman': 0.10286826693939087, 'cosine': 0.7839644488357036}","{'spearman': 0.2830660472102509, 'cosine': 0.7866247320019127}"
04-Physical_Harm/84,"{'spearman': 0.04007299167344766, 'cosine': 0.8592985088269712}","{'spearman': 0.14314541654756693, 'cosine': 0.6853940549048264}","{'spearman': -0.3826965237394553, 'cosine': 0.639820878710125}"
04-Physical_Harm/85,"{'spearman': -0.07193766113776702, 'cosine': 0.8254157180179864}","{'spearman': 0.39299334301054173, 'cosine': 0.6884968803079622}","{'spearman': -0.31926584070566083, 'cosine': 0.6327562178605939}"
04-Physical_Harm/86,"{'spearman': 0.0035288992435127025, 'cosine': 0.6757404689455151}","{'spearman': 0.15776035827873305, 'cosine': 0.799425744695029}","{'spearman': 0.21255180454742512, 'cosine': 0.6890347315038643}"
04-Physical_Harm/89,"{'spearman': 0.167249741894301, 'cosine': 0.8622615799044374}","{'spearman': -0.04289017654852656, 'cosine': 0.7184690813208034}","{'spearman': -0.2950016946531334, 'cosine': 0.7711325865634386}"
04-Physical_Harm/90,"{'spearman': 0.10086817520015517, 'cosine': 0.7571978968291533}","{'spearman': 0.07179892163844538, 'cosine': 0.8442114040820233}","{'spearman': -0.25016413020753775, 'cosine': 0.6838148726011185}"
04-Physical_Harm/93,"{'spearman': 0.04783161578144895, 'cosine': 0.7316574339289592}","{'spearman': 0.19407631738630604, 'cosine': 0.7721398466863573}","{'spearman': 0.21937945113632606, 'cosine': 0.6907667405087388}"
04-Physical_Harm/98,"{'spearman': 0.093172733118604, 'cosine': 0.6927844788719384}","{'spearman': 0.21517076003068014, 'cosine': 0.8080932646658432}","{'spearman': 0.2415825606228012, 'cosine': 0.7282065989894179}"
05-EconomicHarm/100,"{'spearman': -0.07019397523231957, 'cosine': 0.7944253943511531}","{'spearman': 0.2448894016503453, 'cosine': 0.7060735736963081}","{'spearman': -0.32911098482021434, 'cosine': 0.6607437768183807}"
05-EconomicHarm/106,"{'spearman': 0.19298359030911166, 'cosine': 0.8117326809430261}","{'spearman': -0.11452233510812869, 'cosine': 0.7231174581190629}","{'spearman': -0.2312317098724303, 'cosine': 0.7442448208727771}"
05-EconomicHarm/107,"{'spearman': 0.07135640165721953, 'cosine': 0.6740542616046831}","{'spearman': 0.1962387782561235, 'cosine': 0.8148969651220843}","{'spearman': 0.25301492561384753, 'cosine': 0.6982959584239099}"
05-EconomicHarm/108,"{'spearman': 0.013539791014765394, 'cosine': 0.7136721413698432}","{'spearman': 0.2093133621244903, 'cosine': 0.7846567357689649}","{'spearman': 0.1660008781936013, 'cosine': 0.7237241875711853}"
05-EconomicHarm/112,"{'spearman': 0.07399732350311691, 'cosine': 0.876169645786156}","{'spearman': -0.16154945842791654, 'cosine': 0.7494785251984852}","{'spearman': -0.1524790766601284, 'cosine': 0.7729347247308657}"
05-EconomicHarm/113,"{'spearman': 0.08256640823033064, 'cosine': 0.7708405733223705}","{'spearman': 0.1995867847155448, 'cosine': 0.8184199555623356}","{'spearman': 0.20309417374333041, 'cosine': 0.789448746264847}"
05-EconomicHarm/119,"{'spearman': -0.025269634463007104, 'cosine': 0.7601286629227328}","{'spearman': 0.20673060347640002, 'cosine': 0.799306752707997}","{'spearman': 0.10861407156420237, 'cosine': 0.7613795204847554}"
05-EconomicHarm/123,"{'spearman': 0.08548289479570984, 'cosine': 0.6807290310401484}","{'spearman': 0.17989620194543454, 'cosine': 0.8044501924181996}","{'spearman': 0.3146107671376287, 'cosine': 0.7079338246899249}"
05-EconomicHarm/125,"{'spearman': 0.07783344059864104, 'cosine': 0.6827394418149337}","{'spearman': 0.1964147317116202, 'cosine': 0.7967769372827719}","{'spearman': 0.2829074132032237, 'cosine': 0.7248450822288117}"
05-EconomicHarm/126,"{'spearman': -0.00511535118737472, 'cosine': 0.8899721679806182}","{'spearman': 0.2558135309014931, 'cosine': 0.8410027410679642}","{'spearman': -0.18378214176124674, 'cosine': 0.8142868401760974}"
05-EconomicHarm/129,"{'spearman': 0.0790464402598728, 'cosine': 0.8269665561334247}","{'spearman': -0.0421850990513428, 'cosine': 0.7381738448629508}","{'spearman': -0.13421932175699225, 'cosine': 0.7400580185460112}"
05-EconomicHarm/130,"{'spearman': -0.02647693111732418, 'cosine': 0.8636560964285673}","{'spearman': 0.2588203677557064, 'cosine': 0.80304571820284}","{'spearman': -0.10527779770986491, 'cosine': 0.8031385095071948}"
05-EconomicHarm/132,"{'spearman': 0.03593194248773443, 'cosine': 0.8801112197140297}","{'spearman': 0.04665531258681506, 'cosine': 0.8033823260887447}","{'spearman': -0.041225061685488264, 'cosine': 0.8071302532303817}"
05-EconomicHarm/15,"{'spearman': 0.06920051372127424, 'cosine': 0.733617102781643}","{'spearman': 0.16887857507592857, 'cosine': 0.8375232898292834}","{'spearman': 0.21080096186186384, 'cosine': 0.7539062449051306}"
05-EconomicHarm/18,"{'spearman': 0.08711528684213937, 'cosine': 0.8388973198269873}","{'spearman': 0.07029742652518807, 'cosine': 0.8372858771603168}","{'spearman': 0.2826037314722451, 'cosine': 0.8718194232725048}"
05-EconomicHarm/19,"{'spearman': 0.00432472347361466, 'cosine': 0.8686830274597809}","{'spearman': -0.01373477977136873, 'cosine': 0.7966222719563998}","{'spearman': -0.285523000363393, 'cosine': 0.7638859912050111}"
05-EconomicHarm/22,"{'spearman': 0.15607941268082334, 'cosine': 0.8290101846557408}","{'spearman': -0.000991388222386454, 'cosine': 0.709859157734475}","{'spearman': -0.16231227736816642, 'cosine': 0.708224744230568}"
05-EconomicHarm/23,"{'spearman': 0.09858425343505016, 'cosine': 0.6857623510493809}","{'spearman': 0.15644715344462332, 'cosine': 0.7749788587697599}","{'spearman': 0.2216976904668134, 'cosine': 0.6789382225693864}"
05-EconomicHarm/31,"{'spearman': 0.028202170954332355, 'cosine': 0.6570491406285563}","{'spearman': 0.18202820270078574, 'cosine': 0.7893906172302135}","{'spearman': 0.1957624521854283, 'cosine': 0.6417681676757894}"
05-EconomicHarm/36,"{'spearman': 0.06856559523422819, 'cosine': 0.8091258906445652}","{'spearman': 0.16787470545758507, 'cosine': 0.8334807141544007}","{'spearman': -0.20118886651675394, 'cosine': 0.722712891921609}"
05-EconomicHarm/39,"{'spearman': 0.04278398815365807, 'cosine': 0.8197214116562116}","{'spearman': 0.19899370933401367, 'cosine': 0.6751117370700235}","{'spearman': -0.27230455877631776, 'cosine': 0.6842200188188287}"
05-EconomicHarm/41,"{'spearman': -0.060695618104906694, 'cosine': 0.7935387730764589}","{'spearman': -0.10174931176211013, 'cosine': 0.7585334385958308}","{'spearman': -0.19726591612073838, 'cosine': 0.8198558227538449}"
05-EconomicHarm/43,"{'spearman': 0.018922642522428222, 'cosine': 0.7522945847695063}","{'spearman': 0.17872361290855768, 'cosine': 0.7627735512933421}","{'spearman': 0.2581256900649397, 'cosine': 0.7099421302779256}"
05-EconomicHarm/50,"{'spearman': 0.013724946274374091, 'cosine': 0.8465005699474719}","{'spearman': 0.0931686494351802, 'cosine': 0.7216926132082506}","{'spearman': -0.273207183956147, 'cosine': 0.7222348270917336}"
05-EconomicHarm/51,"{'spearman': 0.056674327585022666, 'cosine': 0.6558088980838854}","{'spearman': 0.25924490641796016, 'cosine': 0.7875341353704546}","{'spearman': 0.14989796456223975, 'cosine': 0.6733406659711734}"
05-EconomicHarm/57,"{'spearman': 0.011198733485830855, 'cosine': 0.8519652820517261}","{'spearman': 0.3718315707582439, 'cosine': 0.745434575427224}","{'spearman': -0.16867234390877947, 'cosine': 0.711185945268737}"
05-EconomicHarm/60,"{'spearman': -0.012705764767129554, 'cosine': 0.7290951775052468}","{'spearman': 0.25946035535654904, 'cosine': 0.7879517878119356}","{'spearman': 0.21326933753870983, 'cosine': 0.7283644301860565}"
05-EconomicHarm/61,"{'spearman': -0.04445077415928987, 'cosine': 0.8844447525852542}","{'spearman': 0.20144744256667116, 'cosine': 0.7458026557775628}","{'spearman': -0.3418881775673617, 'cosine': 0.7456162629149784}"
05-EconomicHarm/7,"{'spearman': 0.08020825032998385, 'cosine': 0.8117338349785324}","{'spearman': 0.15500744180200812, 'cosine': 0.7107077569026228}","{'spearman': -0.24049659030094694, 'cosine': 0.7364139212008946}"
05-EconomicHarm/71,"{'spearman': 0.01850594608717596, 'cosine': 0.7349505499244942}","{'spearman': 0.20942870165229188, 'cosine': 0.7913177688923841}","{'spearman': 0.19285860062227994, 'cosine': 0.7524446599564153}"
05-EconomicHarm/74,"{'spearman': -0.03495732629238426, 'cosine': 0.8360227342497142}","{'spearman': 0.17798418449245318, 'cosine': 0.6862230887603574}","{'spearman': -0.15793144415213153, 'cosine': 0.7303159413024346}"
05-EconomicHarm/76,"{'spearman': -0.03673168621381859, 'cosine': 0.8132141767666987}","{'spearman': 0.13775578268467045, 'cosine': 0.6128168413875391}","{'spearman': -0.17192960855402514, 'cosine': 0.6487905017542798}"
05-EconomicHarm/8,"{'spearman': 0.18899896911288722, 'cosine': 0.8019282412555866}","{'spearman': 0.3286279643777768, 'cosine': 0.7823310399244157}","{'spearman': 0.1272922202613564, 'cosine': 0.8210040437941009}"
05-EconomicHarm/80,"{'spearman': 0.006165056471851213, 'cosine': 0.8499096947617646}","{'spearman': 0.01410911253439069, 'cosine': 0.8704864468005061}","{'spearman': -0.0017575625078994827, 'cosine': 0.846317075298033}"
05-EconomicHarm/83,"{'spearman': 0.08212917996864658, 'cosine': 0.7556361819098111}","{'spearman': 0.1523169818677956, 'cosine': 0.7976296728880907}","{'spearman': 0.26564971066228155, 'cosine': 0.7877397179560484}"
05-EconomicHarm/84,"{'spearman': -0.035667538939589696, 'cosine': 0.7857778067240269}","{'spearman': 0.28944279135873374, 'cosine': 0.7178466787066102}","{'spearman': -0.18339981730988653, 'cosine': 0.6164333575650623}"
05-EconomicHarm/87,"{'spearman': -0.06216071664548104, 'cosine': 0.8691573349247642}","{'spearman': 0.23868088234439055, 'cosine': 0.7150767205695976}","{'spearman': -0.26629047558289953, 'cosine': 0.6760921979380201}"
05-EconomicHarm/88,"{'spearman': 0.10771052149949019, 'cosine': 0.649858904546984}","{'spearman': 0.2254366258090443, 'cosine': 0.8058695652798833}","{'spearman': 0.2418720867754156, 'cosine': 0.6684578067028829}"
05-EconomicHarm/89,"{'spearman': -0.17280358110784175, 'cosine': 0.8547910432533941}","{'spearman': 0.33800637097724645, 'cosine': 0.7559231821157483}","{'spearman': -0.2126494656527751, 'cosine': 0.6995177168840992}"
05-EconomicHarm/90,"{'spearman': 0.023235684230840666, 'cosine': 0.761484861214911}","{'spearman': 0.1884043979174738, 'cosine': 0.8031920237899759}","{'spearman': 0.2291005803326698, 'cosine': 0.773642455427181}"
05-EconomicHarm/93,"{'spearman': 0.004600797933892717, 'cosine': 0.8108078760213917}","{'spearman': 0.12999597364341522, 'cosine': 0.8196238387796189}","{'spearman': -0.19201038336664247, 'cosine': 0.7201050703206376}"
05-EconomicHarm/97,"{'spearman': -0.06234613281558373, 'cosine': 0.8357976289305926}","{'spearman': 0.031841199748108936, 'cosine': 0.7400924615779354}","{'spearman': -0.25992414760434784, 'cosine': 0.8045634124704789}"
05-EconomicHarm/99,"{'spearman': 0.04959301037436193, 'cosine': 0.8655058208158654}","{'spearman': 0.2821461977362694, 'cosine': 0.7211214490342425}","{'spearman': -0.10813051635242964, 'cosine': 0.6964551615580035}"
06-Fraud/104,"{'spearman': 0.05676502653366159, 'cosine': 0.7246050903450951}","{'spearman': 0.2803836293640411, 'cosine': 0.6934148576270174}","{'spearman': 0.04850459992898913, 'cosine': 0.5202898179216341}"
06-Fraud/115,"{'spearman': 0.1271087914352584, 'cosine': 0.825172042279384}","{'spearman': -0.10992855120258167, 'cosine': 0.783502326225738}","{'spearman': -0.24941521169526357, 'cosine': 0.7824465000797207}"
06-Fraud/118,"{'spearman': 0.019076028775876743, 'cosine': 0.7628163829947411}","{'spearman': 0.23118088700549444, 'cosine': 0.8003439440105282}","{'spearman': 0.18601699514968623, 'cosine': 0.7111598056110262}"
06-Fraud/120,"{'spearman': -0.04513484231078067, 'cosine': 0.8570395665507483}","{'spearman': 0.3170279462113446, 'cosine': 0.7385497683602943}","{'spearman': -0.19547227405165185, 'cosine': 0.6687310856085131}"
06-Fraud/121,"{'spearman': 0.052740601211278, 'cosine': 0.6862081593233539}","{'spearman': 0.16308845381861298, 'cosine': 0.788295602673989}","{'spearman': 0.2514966129054276, 'cosine': 0.6928019443640673}"
06-Fraud/122,"{'spearman': 0.14655028689593777, 'cosine': 0.8416496981317438}","{'spearman': 0.18276452178695454, 'cosine': 0.7914448069993256}","{'spearman': 0.05450270265250551, 'cosine': 0.7802211639282203}"
06-Fraud/124,"{'spearman': 0.043803053077445496, 'cosine': 0.6895097670621756}","{'spearman': 0.16498679319117387, 'cosine': 0.7913796333455064}","{'spearman': 0.2696546466874575, 'cosine': 0.6895796319743772}"
06-Fraud/126,"{'spearman': 0.0001106020072342457, 'cosine': 0.8610437565412471}","{'spearman': 0.20002150350793646, 'cosine': 0.6813288162100543}","{'spearman': -0.3016218728161008, 'cosine': 0.6327098962408553}"
06-Fraud/130,"{'spearman': 0.04891212234638348, 'cosine': 0.6878923351747763}","{'spearman': 0.13146579679755763, 'cosine': 0.7724353728441429}","{'spearman': 0.23198943560732685, 'cosine': 0.6858478998873964}"
06-Fraud/132,"{'spearman': -0.10080558877161476, 'cosine': 0.8880509437095736}","{'spearman': 0.26337804330915526, 'cosine': 0.8484288519665412}","{'spearman': -0.20575791799572216, 'cosine': 0.7964627094875598}"
06-Fraud/140,"{'spearman': 0.09928437869306005, 'cosine': 0.8244124373467263}","{'spearman': 0.31997235622757364, 'cosine': 0.7150344355082973}","{'spearman': -0.1731589389572106, 'cosine': 0.6657262510508204}"
06-Fraud/141,"{'spearman': 0.10263805401572217, 'cosine': 0.8825516804191186}","{'spearman': 0.19759331009221323, 'cosine': 0.8100712019673887}","{'spearman': -0.05514379856244249, 'cosine': 0.7820322563298596}"
06-Fraud/142,"{'spearman': 0.14820715061823014, 'cosine': 0.7888425347450262}","{'spearman': 0.35437784022742325, 'cosine': 0.8128076103113672}","{'spearman': -0.03333738333682257, 'cosine': 0.692042474065704}"
06-Fraud/143,"{'spearman': 0.09032993732048233, 'cosine': 0.8134546515247008}","{'spearman': 0.46347948333371913, 'cosine': 0.8192843409915579}","{'spearman': -0.2561898283257362, 'cosine': 0.6994675714850099}"
06-Fraud/145,"{'spearman': 0.0847954856434769, 'cosine': 0.7739898481236848}","{'spearman': 0.15645719027657803, 'cosine': 0.7585049187034058}","{'spearman': -0.16947735026032917, 'cosine': 0.659488009380872}"
06-Fraud/147,"{'spearman': 0.010525085162716443, 'cosine': 0.7722463157875095}","{'spearman': 0.2354539358582691, 'cosine': 0.6784702324464094}","{'spearman': -0.06070248188559332, 'cosine': 0.6343994301124632}"
06-Fraud/148,"{'spearman': -0.028002137369685192, 'cosine': 0.813183985734226}","{'spearman': 0.20773433466275423, 'cosine': 0.7685697938017395}","{'spearman': -0.37401424918573456, 'cosine': 0.6522268626323218}"
06-Fraud/149,"{'spearman': -0.042296925239068486, 'cosine': 0.8543191280419622}","{'spearman': 0.12242531225841981, 'cosine': 0.8147403321972417}","{'spearman': -0.19723729404606932, 'cosine': 0.7788982016144294}"
06-Fraud/16,"{'spearman': -0.07863044912602692, 'cosine': 0.82423000639502}","{'spearman': 0.1603513324495938, 'cosine': 0.7008944515638128}","{'spearman': -0.4680328907939613, 'cosine': 0.7287477078307871}"
06-Fraud/18,"{'spearman': 0.012100523898936216, 'cosine': 0.6521301405300659}","{'spearman': 0.23830018379098847, 'cosine': 0.7928714996249929}","{'spearman': 0.16099939288310192, 'cosine': 0.6442904543529286}"
06-Fraud/19,"{'spearman': 0.018060265578516217, 'cosine': 0.7174608955337434}","{'spearman': 0.21959487629826008, 'cosine': 0.7859189551496643}","{'spearman': 0.13909408915144142, 'cosine': 0.6987764726218385}"
06-Fraud/2,"{'spearman': 0.07241679557362021, 'cosine': 0.7465067646598115}","{'spearman': 0.021038725388302527, 'cosine': 0.6199560182746193}","{'spearman': -0.24318737669260923, 'cosine': 0.6547254790062688}"
06-Fraud/24,"{'spearman': -0.06728055701228439, 'cosine': 0.8225053969573795}","{'spearman': 0.186066783539599, 'cosine': 0.7411901090862055}","{'spearman': -0.29838303245825887, 'cosine': 0.7243421928964917}"
06-Fraud/25,"{'spearman': 0.04944497360512644, 'cosine': 0.8457699393563536}","{'spearman': 0.16383039842696143, 'cosine': 0.7379518437982983}","{'spearman': -0.15614981491148103, 'cosine': 0.7536833636069895}"
06-Fraud/28,"{'spearman': 0.10234613764195341, 'cosine': 0.825610504119601}","{'spearman': -0.040795471551402424, 'cosine': 0.7343471900571217}","{'spearman': -0.18938840348548053, 'cosine': 0.7922189493950026}"
