image_id,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14
01-Illegal_Activitiy/60,"{'spearman': -0.08303058659671918, 'cosine': 0.8471946910000184}","{'spearman': 0.16741877515258483, 'cosine': 0.7995334336789747}","{'spearman': -0.1558673374045447, 'cosine': 0.7552172014047656}"
01-Illegal_Activitiy/66,"{'spearman': -0.10067801089743972, 'cosine': 0.7476061748415986}","{'spearman': 0.18434461662799848, 'cosine': 0.7538947861649862}","{'spearman': -0.3600802301964419, 'cosine': 0.6386411443304676}"
01-Illegal_Activitiy/67,"{'spearman': 0.02701557841937839, 'cosine': 0.7220024752022529}","{'spearman': 0.20188385039659765, 'cosine': 0.8340871782646846}","{'spearman': 0.17677144487249094, 'cosine': 0.7334260472421046}"
01-Illegal_Activitiy/73,"{'spearman': -0.07863442348427668, 'cosine': 0.8658390959185337}","{'spearman': 0.28193640087963434, 'cosine': 0.7747992925035216}","{'spearman': -0.33320799754228775, 'cosine': 0.7920839980022121}"
01-Illegal_Activitiy/77,"{'spearman': 0.06368399996935359, 'cosine': 0.8777425553231071}","{'spearman': 0.05233972552889377, 'cosine': 0.6908575507954497}","{'spearman': -0.1764398474967752, 'cosine': 0.7327247976041219}"
01-Illegal_Activitiy/79,"{'spearman': -0.05794170802337803, 'cosine': 0.7966532075387803}","{'spearman': 0.0070249241068266344, 'cosine': 0.6633192977901956}","{'spearman': -0.2882703527030585, 'cosine': 0.653342160235555}"
01-Illegal_Activitiy/80,"{'spearman': 0.11338093470172039, 'cosine': 0.8484954791765753}","{'spearman': 0.38244484570184006, 'cosine': 0.7261550540660432}","{'spearman': 0.07531142981971971, 'cosine': 0.6777078326745861}"
01-Illegal_Activitiy/81,"{'spearman': 0.02906203791003756, 'cosine': 0.7212095638235447}","{'spearman': 0.22463734663699692, 'cosine': 0.7864340794107021}","{'spearman': 0.13727976825828228, 'cosine': 0.7141739032962103}"
01-Illegal_Activitiy/82,"{'spearman': -0.08735703874407144, 'cosine': 0.8154128866350934}","{'spearman': 0.3159927886974531, 'cosine': 0.8159691810085848}","{'spearman': -0.33521372318766435, 'cosine': 0.7130438404600947}"
01-Illegal_Activitiy/86,"{'spearman': 0.06528995095897656, 'cosine': 0.7314983413329236}","{'spearman': 0.1680546682759724, 'cosine': 0.7939501483019838}","{'spearman': 0.18634597383152862, 'cosine': 0.7584393400442131}"
01-Illegal_Activitiy/87,"{'spearman': 0.022668177077848246, 'cosine': 0.838450401517327}","{'spearman': 0.1647994219370238, 'cosine': 0.6884108736371355}","{'spearman': -0.0422635978349796, 'cosine': 0.704011833412074}"
01-Illegal_Activitiy/89,"{'spearman': 0.07170393402678044, 'cosine': 0.676675780632954}","{'spearman': 0.22432680618478207, 'cosine': 0.7949729477790202}","{'spearman': 0.27986270141692315, 'cosine': 0.6697795740376232}"
01-Illegal_Activitiy/93,"{'spearman': 0.10092626125584761, 'cosine': 0.6986553466944784}","{'spearman': 0.1787018603704313, 'cosine': 0.7908552945440069}","{'spearman': 0.19522806172154186, 'cosine': 0.745029043439937}"
01-Illegal_Activitiy/96,"{'spearman': 0.02753555400553573, 'cosine': 0.8056786793151689}","{'spearman': -0.012806475610474892, 'cosine': 0.6229051879181804}","{'spearman': -0.449299319373913, 'cosine': 0.6115178769288759}"
02-HateSpeech/1,"{'spearman': 0.04593956037252889, 'cosine': 0.7643464013765979}","{'spearman': 0.1051768738402551, 'cosine': 0.8339244192479193}","{'spearman': 0.2816856143973897, 'cosine': 0.7873273964205354}"
02-HateSpeech/100,"{'spearman': 0.02268324465986898, 'cosine': 0.8561552166435904}","{'spearman': 0.15651224377068312, 'cosine': 0.696895842950954}","{'spearman': -0.10918395882330943, 'cosine': 0.661661145516229}"
02-HateSpeech/102,"{'spearman': 0.05387870918866186, 'cosine': 0.7521840593417595}","{'spearman': 0.11042071760340841, 'cosine': 0.7951880921748131}","{'spearman': 0.23014178992771417, 'cosine': 0.754409222969152}"
02-HateSpeech/106,"{'spearman': 0.06339514183799808, 'cosine': 0.7573923891907027}","{'spearman': 0.12950752322131517, 'cosine': 0.788010141857572}","{'spearman': 0.15497886182305598, 'cosine': 0.7690444990454989}"
02-HateSpeech/112,"{'spearman': -0.09694437797362039, 'cosine': 0.6734145419703076}","{'spearman': 0.49724349385536853, 'cosine': 0.731880644398209}","{'spearman': -0.24273686639287195, 'cosine': 0.4787977641107704}"
02-HateSpeech/113,"{'spearman': 0.028245139259494834, 'cosine': 0.7156804873698042}","{'spearman': 0.2818332596142206, 'cosine': 0.7703579965834199}","{'spearman': 0.18910814537696566, 'cosine': 0.6599406408843077}"
02-HateSpeech/114,"{'spearman': 0.11844754259518299, 'cosine': 0.8334951087223574}","{'spearman': 0.17477945142808224, 'cosine': 0.6701951121647987}","{'spearman': -0.06288650613773386, 'cosine': 0.6737048542085802}"
02-HateSpeech/119,"{'spearman': 0.07164603869861137, 'cosine': 0.8629224607816808}","{'spearman': 0.12591974963033636, 'cosine': 0.7385723053042639}","{'spearman': -0.25301508871695305, 'cosine': 0.7370289387122672}"
02-HateSpeech/12,"{'spearman': -0.018937842039475048, 'cosine': 0.7398303855611498}","{'spearman': 0.21181122669232555, 'cosine': 0.8020184134888296}","{'spearman': 0.14259437880481501, 'cosine': 0.7094342925416763}"
